,lemma,freq,both_cooc,both_pmi,e_cooc,e_pmi,neither_cooc,neither_pmi,redup_cooc,redup_pmi
344,sud,299,3,-1.23351522284,71,0.615018313552,171,-0.352401053872,54,0.985354314975
250,kud,92,0,,21,0.558028334967,65,-0.0474460375879,6,-0.484130968326
116,cu2,98,2,-0.209185893476,22,0.533994642767,43,-0.734696983972,31,1.79395495328
323,sig,85,0,,19,0.527809445551,65,0.0667249823314,1,-2.95492244913
71,ba,126,6,1.01320652786,28,0.519347866803,81,-0.183681815175,11,-0.0633798178527
357,sur,60,3,1.08359585575,13,0.482821990778,26,-0.752702772027,18,1.71750289284
68,ak,790,3,-2.6352223917,167,0.447268317655,611,0.0830678321949,9,-3.00131535461
74,bad,90,9,2.08359585575,18,0.367344773358,55,-0.256745277364,8,-0.0373846093198
91,buluj3,40,0,,8,0.367344773358,32,0.131820010553,0,
171,gaz,40,1,0.0835958557517,8,0.367344773358,26,-0.167740271306,5,0.45446848701
93,bur12,42,6,2.59816902858,8,0.296955445466,19,-0.690641803895,9,1.23207606567
413,zalag,69,1,-0.703000506139,13,0.281188129608,45,-0.162923255008,10,0.667872125119
172,gen6,158,5,0.423671297349,27,0.140379622232,109,-0.0818483179595,17,0.238150580083
328,sikil,154,0,,26,0.122926045691,127,0.175646251518,1,-3.81231805368
287,nijin2,127,0,,21,0.0929056042517,81,-0.195086578447,25,1.10963999001
94,bur2,73,7,2.02305431382,12,0.0844108100863,43,-0.309811698737,11,0.724075546767
112,cid,31,0,,5,0.0570046527456,26,0.199991513195,0,
268,luh,31,3,2.03629014097,5,0.0570046527456,19,-0.252520691503,4,0.500272176623
222,hur,44,5,2.26802042689,7,0.0371961716655,27,-0.250796011033,5,0.31696496326
218,hul2,264,6,-0.0539076679982,41,0.00243075350479,193,0.00181102335029,24,-0.00496313162739
102,ce,39,3,1.7050842325,6,-0.0111668498959,30,0.0752364821869,0,
284,mur10,33,0,,5,-0.0331931562259,28,0.21670890814,0,
131,dajal,165,0,,25,-0.0331931562259,139,0.206366963918,1,-3.91185372724
371,til3,153,0,,23,-0.0445530183905,128,0.196360262748,2,-2.80291935568
362,tag,173,10,1.29282381789,25,-0.101499169617,120,-0.0739895265875,18,0.189765260815
179,gig,104,0,,15,-0.104276254287,89,0.229041818266,0,
143,dim2,113,1,-1.41465501178,16,-0.13090609417,79,-0.0626501087974,17,0.721752365845
258,la2,441,5,-1.05718280003,61,-0.164624639749,336,0.0614306826619,39,-0.0447641396854
385,tur,168,10,1.33513462275,23,-0.179482598477,79,-0.634788569161,56,1.86950598629
191,gur,81,5,1.38760204264,11,-0.191145516002,42,-0.493784474665,23,1.63818044018
149,du3,383,7,-0.368321709228,50,-0.248071523905,285,0.0273656325678,41,0.230819909703
393,uc2,62,0,,8,-0.264923442142,54,0.254439297217,0,
153,dub,71,7,2.06313175319,9,-0.290549249817,31,-0.741802703677,24,1.88968386823
100,car2,145,4,0.225614860624,18,-0.320711220327,106,0.00175946998893,17,0.362022238245
310,sag9,381,11,0.291308381783,44,-0.424942700611,263,-0.0809800927604,63,0.858101223016
219,huluh,26,0,,3,-0.426204349175,21,0.145625810078,2,-0.245971231131
391,u5,96,0,,11,-0.436258013839,84,0.261103027498,1,-3.13049401371
188,gul,128,8,1.40552395064,14,-0.503372209697,76,-0.298324381116,30,1.36135908262
