,char,freq,both_cooc,both_pmi,e_cooc,e_pmi,neither_cooc,neither_pmi,redup_cooc,redup_pmi
225,ra,2028,32,-0.580317986364,331,0.074118338049,1488,0.00706497954536,177,-0.0637678999104
552,cid,31,0,,5,0.0570046527456,26,0.199991513195,0,
262,hur,44,5,2.26802042689,7,0.0371961716655,27,-0.250796011033,5,0.31696496326
212,hul2,260,6,-0.0318813616682,41,0.0244570598348,191,0.00880912044796,22,-0.108467707381
42,zi,102,0,,16,0.0168475262737,86,0.207587518171,0,
185,dajal,162,0,,25,-0.00672094486474,136,0.201360943806,1,-3.88538151587
457,mur10,26,0,,4,-0.0111668498959,22,0.212740005937,0,
66,kud,67,0,,10,-0.0548882273253,52,0.088098633124,5,-0.289692608561
389,ci,634,15,0.00407551610818,94,-0.0644773102166,454,-0.0280424374078,71,0.295876576375
332,da,2059,21,-1.20988674121,305,-0.0657898139368,1548,0.0422097469528,185,-0.021878167106
561,ud,136,0,,20,-0.0762618781178,108,0.121172766354,8,-0.63299435424
459,i,377,21,1.23942066015,55,-0.0877881314988,218,-0.336488283051,83,1.27108720509
132,tag,173,10,1.29282381789,25,-0.101499169617,120,-0.0739895265875,18,0.189765260815
532,gig,104,0,,15,-0.104276254287,89,0.229041818266,0,
576,an,2024,32,-0.577469624055,290,-0.113811616434,1553,0.0715966451337,149,-0.309356567222
309,tej3,49,1,-0.209185893476,7,-0.118082053812,40,0.160966356213,1,-2.16024135711
91,[X],197,1,-2.21652786882,28,-0.125424029154,165,0.19801850023,3,-2.58262083173
114,dim2,113,1,-1.41465501178,16,-0.13090609417,79,-0.0626501087974,17,0.721752365845
453,i3,700,14,-0.238332239136,99,-0.132581623508,553,0.113672663843,34,-0.909279783572
365,luh,57,3,1.1575964372,8,-0.14361714592,40,-0.0572138138367,6,0.206540973566
180,li,50,1,-0.238332239136,7,-0.147228399472,39,0.0952941345282,3,-0.604425202044
375,tur,168,10,1.33513462275,23,-0.179482598477,79,-0.634788569161,56,1.86950598629
116,mi,841,31,0.643758270771,110,-0.245329408485,616,0.00457265588043,84,0.130823919534
422,du3,389,7,-0.39074747229,50,-0.270497286966,287,0.0150286871302,45,0.342695238353
51,zu,1051,19,-0.38409548988,135,-0.271458488666,823,0.1009497719,74,-0.373625101323
73,sig9,109,6,1.22230212658,14,-0.271556534474,82,0.0431157852818,7,-0.506360915709
401,dub,71,7,2.06313175319,9,-0.290549249817,31,-0.741802703677,24,1.88968386823
581,ni,2562,81,0.422319193182,322,-0.302865013982,1814,-0.0443479143725,345,0.561866278334
601,du,225,0,,28,-0.317153400914,197,0.26201873368,0,
208,car2,146,4,0.215699391759,18,-0.330626689193,107,0.0053905329618,17,0.35210676938
138,la2,502,7,-0.758664681254,61,-0.351533348143,364,-0.0100008083114,70,0.612207950004
40,gur,94,5,1.17286319385,11,-0.405884364795,51,-0.428415404265,27,1.6547671375
388,ub,94,0,,11,-0.405884364795,73,0.088983812643,10,0.22180773022
333,sag9,376,11,0.310366717599,44,-0.405884364795,259,-0.0840324585504,62,0.854075945719
194,ze2,120,5,0.820561449918,14,-0.410262805306,96,0.131820010553,5,-1.13049401371
526,u5,98,0,,11,-0.466005357233,85,0.248429197463,2,-2.16024135711
530,u3,692,9,-0.859179275555,77,-0.478568818697,575,0.186538023636,31,-1.02596343024
366,mul,46,2,0.881961994582,5,-0.512360992924,25,-0.425957660842,14,1.73826145301
146,kur9,175,0,,19,-0.514010730144,155,0.278661398883,1,-3.99674262482
39,gul,120,8,1.49863335503,13,-0.517178009222,69,-0.34461803339,30,1.45446848701
597,ru,307,3,-1.27160839401,33,-0.528427857767,256,0.19165326007,15,-0.900735762752
468,bi2,977,5,-2.20476270644,105,-0.528696366057,807,0.17795821675,60,-0.57085566935
79,ku4,140,0,,15,-0.533119553091,121,0.24332832577,4,-1.67481452994
316,sumun,29,0,,3,-0.583745626161,25,0.239623300088,1,-1.40351250812
161,gur4,39,8,3.12012173178,4,-0.596129350617,15,-0.924763517813,12,1.75402876887
184,kac4,49,4,1.79081410652,5,-0.603508880983,39,0.124440480188,1,-2.16024135711
263,nijin2,91,0,,9,-0.648596770511,57,-0.221156520593,25,1.59053003659
