UNK
1(disz)
sila3
2(disz)
mu
5(disz)
1(u)
iti
gin2
3(disz)
ki
u4
gur
x
dumu
udu
lugal
|SZU+LAGAB|
2(u)
kasz
kiszib3
sze
4(disz)
ninda
gurusz
1(barig)
6(disz)
i3
gu4
3(u)
szu
ba-hul
dub-sar
niga
3(ban2)
1(ban2)
ugula
1(gesz2)
sila4
1(asz)
giri3
1/2(disz)
GAN2
a-sza3
2(barig)
8(disz)
ba-ti
ma-na
szum2
naga
7(disz)
2(ban2)
4(u)
masz2
us2-sa
tug2
sza3
lu2
la2
e2
i3-dab5
en
{d}szu-{d}suen
4(ban2)
2(asz)
saga
u3
3(barig)
5(u)
ba-hun
1(disz)-sze3
ma2
2(gesz2)
mu-kux(DU)
du
zi3
sa
4(barig)
gu2
ensi2
geme2
a2
zi-ga
us2
1/3(disz)
a-ra2
3(asz)
gesz
u8
sze-bi
ab2
{d}inanna
siki
la2-ia3
5(ban2)
gub-ba
3(disz)-kam
u2
sar
1(disz)-kam
engar
n
2/3(disz)
ki-masz{ki}
gi
ga
masz2-gal
{d}nanna
ba-zi
3(gesz2)
4(asz)
1(asz@c)
2(disz)-kam
ba-du3
maszkim
igi
{d}amar-{d}suen
sze-sag11-ku5
uri5{ki}-ma
5(asz)
bad3
kusz
ur-nigar{gar}
4(disz)-kam
ba-usz2
ur-{d}ba-ba6
dabin
sukkal
1(gesz'u)
ud5
dug
6(asz)
1(esze3)
kal-ga
mar-tu
9(disz)
ak
dida
amar
hi-a
sa2-du11
lugal-e
ku3-babbar
4(gesz2)
a2-bi
sar-ta
{d}szara2
szesz-kal-la
1/2(iku)
ki-la2-bi
i3-gesz
lu2-kal-la
ARAD2-zu
ab-ba-sa6-ga-ta
an
a-kal-la
ezem-{d}szul-gi
id-gur2
ur-mes
eridu{ki}
lu2-dingir-ra
limmu2-ba
7(asz)
ub-da
umma{ki}
sza3-gal
8(asz)
{d}en-lil2
ku6
diri
nu-banda3
bala-a
ba-ab-du8
{d}en-lil2-la2
mu-hul
ur-bi2-lum{ki}
5(gesz2)
{d}en-ki
ba-zal
szabra
sza3-bi-ta
hun-ga2
uri5{ki}-ma-ke4
si-mu-ru-um{ki}
sze-ba
mu-du3
erin2
si-ma-num2{ki}
sila3-ta
szusz3
i7
ur-{gesz}gigir
ansze
2(esze3)
ur-{d}szul-pa-e3
sag
6(gesz2)
ku3-bi
1(bur3)
3(iku)
ur-{d}lamma
usz-bar
5(disz)-kam
5/6(disz)
szu-numun
zu2-lum
en-unu6-gal
{d}i-bi2-{d}suen
1/4(iku)
szu-gid2
kas4
i3-pa3
ba-dim2
zi3-gu
lugal-e2-mah-e
lu2-{d}nin-szubur
ma-da
ku3
udu-nita2
9(asz)
gen-na
nita
ur-{d}szara2
szitim
sipa
i3-dub
su-ga
6(disz)-kam
ARAD2-mu
guz-za
2(gesz'u)
ARAD2
a-a-kal-la
a
du-ni
nu-banda3-gu4
ezem-mah
{munus}asz2-gar3
lu2-{d}szara2
nig2-ka9
ziz2
duh
8(disz)-kam
ur-{d}suen
a2-ki-ti
7(disz)-kam
{d}dumu-zi
dumu-ni
sig15
sanga
kir11
ur-e11-e
gu4-gesz
4(iku)
ensi2-ka
7(gesz2)
da-da
bala
al
ezem-{d}nin-a-zu
gukkal
{gesz}tukul
ezem-an-na
esza
gub-ba-am3
3(ban2)-ta
esir2
{d}szul-gi
hu-uh2-nu-ri{ki}
lu2-{d}nin-gir2-su
dur3
nig2-lam2
ug3-IL2
1(iku)
2(iku)
gid2-da
siskur2
lugal-ku3-zu
space
blank
($
lugal-ezem
$)
sza-asz-ru{ki}
lu2-du10-ga
a-tu
8(gesz2)
kusz3
usz2
ur5-ra
ur-{d}nansze
{d}nin-lil2
za-ab-sza-li{ki}
2(disz)-sze3
SIG7-a
kuruszda
ki-su7
ur-{d}ig-alim
kar-zi-da
